Title,Sale Price,Regular Price,Product Link,Image
Anarkali Kurta Dupatta Set with beautiful prints and intricate embroidery,"Rs. 1,450.00","Rs. 2,000.00",https://luxeloom.co/collections/women/products/anarkali-kurta-dupatta-set-with-beautiful-prints-and-intricate-embroidery,https://luxeloom.co/cdn/shop/files/9045184F-A150-4D46-A7C9-DBCFFC5411A5_550x.jpg?v=1740221298
Black Premium Rayon Co-Ord Set,"Rs. 1,199.00","Rs. 1,399.00",https://luxeloom.co/collections/women/products/black-premium-rayon-co-ord-set,https://luxeloom.co/cdn/shop/files/WhatsAppImage2025-01-28at19.53.09_9b860596_550x.jpg?v=1738085174
Black Printed Rayon Co-Ord Set,"Rs. 1,199.00","Rs. 1,399.00",https://luxeloom.co/collections/women/products/deep-blue-casual-rayon-coord-set,https://luxeloom.co/cdn/shop/files/WhatsAppImage2025-01-28at19.53.05_4bf0a45d_550x.jpg?v=1738084676
Black Printed Short Kurti,Rs. 649.00,Rs. 699.00,https://luxeloom.co/collections/women/products/black-printed-short-kurti,https://luxeloom.co/cdn/shop/files/IMG-20250119-WA0502_550x.jpg?v=1737640277
Black Pure Cotton Floral Printed A-line Kurta Set,"Rs. 1,599.00","Rs. 3,199.00",https://luxeloom.co/collections/women/products/black-pure-cotton-floral-printed-a-line-kurta-set,https://luxeloom.co/cdn/shop/files/SET535-KR-PP_6_550x.jpg?v=1742322118
Blue Cotton Floral Print Flared Kurta,"Rs. 1,099.00","Rs. 1,399.00",https://luxeloom.co/collections/women/products/dark-green-sequin-and-thread-embroidered-muslin-kurta,https://luxeloom.co/cdn/shop/files/p_1fce4a22-296f-45d1-adc8-9dba938cc2b1_550x.jpg?v=1741108875
Blue Printed Rayon Co-Ord Set,,,https://luxeloom.co/collections/women/products/blue-printed-rayon-co-ord-set,https://luxeloom.co/cdn/shop/files/WhatsAppImage2025-01-28at19.53.06_0477bcb1_550x.jpg?v=1738084976
Breathable Green & Chic Digital Printed Co-ord Sets,"Rs. 1,299.00","Rs. 1,499.00",https://luxeloom.co/collections/women/products/breathable-green-chic-digital-printed-co-ord-sets,https://luxeloom.co/cdn/shop/files/WhatsAppImage2025-01-26at22.58.25_40001d95_550x.jpg?v=1737979869
Breathable & Chic Brush Printed Co-ord Sets,"Rs. 1,199.00","Rs. 1,499.00",https://luxeloom.co/collections/women/products/breathable-chic-brush-printed-co-ord-sets,https://luxeloom.co/cdn/shop/files/WhatsAppImage2025-01-23at10.58.37_7627256d_550x.jpg?v=1737987366
Breathable & Chic Digital Printed Co-ord Sets,"Rs. 1,399.00","Rs. 1,499.00",https://luxeloom.co/collections/women/products/breathable-chic-digital-printed-co-ord-sets,https://luxeloom.co/cdn/shop/files/WhatsAppImage2025-01-26at22.58.21_36bf71ce_550x.jpg?v=1737979869
